t,x,y,z,odom_yaw,cx,cy,cz,label,rot1,rot2,rot3,rot4,rot5,rot6,rot7,rot8,rot9
1714313103203425769,3.54925,-1.05975,-0.48998,0.306542,3.73551,0.0624959,-0.048784,Three,0.946348,-0.300521,-0.118799,0.306493,0.95122,0.0352475,0.102412,-0.0697676,0.992292
1714313103332565938,3.4816,-1.15489,-0.487427,0.0134854,3.69978,-0.0489318,-0.0467293,Three,0.946376,-0.300452,-0.118746,0.306419,0.951244,0.0352414,0.102368,-0.0697375,0.992299
1714313103338659516,3.61922,-1.20553,-0.50615,0.174472,3.84745,-0.0556318,-0.0475836,Three,0.946377,-0.300439,-0.118773,0.30641,0.951247,0.0352559,0.10239,-0.0697585,0.992295
1714313103345399698,3.5637,-1.19316,-0.499146,0.060915,3.79036,-0.0606135,-0.0470572,Three,0.946372,-0.300441,-0.118805,0.306415,0.951244,0.0352683,0.102417,-0.0697806,0.992291
1714313103352293091,3.66645,-1.2335,-0.512055,0.160032,3.90125,-0.0679229,-0.0464734,Three,0.946367,-0.300451,-0.11882,0.306425,0.951242,0.0352527,0.102434,-0.0697712,0.99229
1714313103359167520,3.67057,-1.24118,-0.513186,0.127318,3.9076,-0.073993,-0.0467752,Three,0.94637,-0.300456,-0.118785,0.306426,0.951242,0.0352456,0.102403,-0.0697541,0.992294
1714313103365617989,3.73971,-1.27039,-0.522256,0.181675,3.98288,-0.0809329,-0.0467351,Three,0.946374,-0.300452,-0.118765,0.306421,0.951243,0.035245,0.102385,-0.0697472,0.992297
1714313103372644926,3.71825,-1.26935,-0.519126,0.100049,3.96189,-0.0864297,-0.0458972,Three,0.946376,-0.300446,-0.118765,0.306417,0.951244,0.0352636,0.10238,-0.0697643,0.992296
1714313103379778914,3.73086,-1.27943,-0.521,0.577531,3.97707,-0.0922494,-0.04566,Three,0.946375,-0.300439,-0.11879,0.306413,0.951245,0.0352791,0.102399,-0.0697861,0.992292
1714313103386506930,3.75525,-1.29405,-0.524519,0.055901,4.00497,-0.0989255,-0.0454651,Three,0.94638,-0.300406,-0.118831,0.306384,0.951254,0.035286,0.102438,-0.0698019,0.992287
1714313103393263352,3.75175,-1.29875,-0.524034,0.0191384,4.00301,-0.104543,-0.0448747,Three,0.946383,-0.300384,-0.118864,0.306366,0.951259,0.0353052,0.102466,-0.0698283,0.992283
1714313103400362635,3.72936,-1.29709,-0.521069,-0.0316185,3.98097,-0.1097,-0.0443021,Three,0.946381,-0.300387,-0.118874,0.306371,0.951256,0.0353233,0.102469,-0.0698489,0.992281
1714313103407591920,3.74209,-1.30773,-0.522497,-0.0559709,3.99638,-0.115886,-0.0437747,Three,0.946377,-0.30041,-0.118849,0.306393,0.951249,0.0353251,0.102443,-0.0698454,0.992284
1714313103414785777,3.80436,-1.33557,-0.531108,-0.0487322,4.0647,-0.123602,-0.0440125,Three,0.946378,-0.300409,-0.118845,0.306391,0.95125,0.0353191,0.102441,-0.0698383,0.992284
1714313103421448749,3.81547,-1.34493,-0.532942,-0.077421,4.07824,-0.129306,-0.04392,Three,0.946385,-0.300373,-0.118873,0.306359,0.95126,0.0353373,0.102465,-0.0698605,0.99228
1714313103428077194,3.83346,-1.35656,-0.535499,-0.0913953,4.09906,-0.135029,-0.0436709,Three,0.946388,-0.300354,-0.118903,0.306342,0.951265,0.0353441,0.102493,-0.0698744,0.992277
1714313103434908866,3.8008,-1.35064,-0.530419,-0.143699,4.06577,-0.139254,-0.0423524,Three,0.94639,-0.300344,-0.118912,0.306335,0.951267,0.0353649,0.102496,-0.0698959,0.992275
1714313103441443715,3.7793,-1.34814,-0.52751,-0.179072,4.04432,-0.143432,-0.0418026,Three,0.946394,-0.300326,-0.118922,0.306318,0.951272,0.0353689,0.102505,-0.0699008,0.992273
1714313103448284334,3.89192,-1.39367,-0.542652,-0.15792,4.16637,-0.152874,-0.04199,Three,0.946398,-0.300305,-0.118948,0.306297,0.95128,0.0353487,0.102538,-0.0698874,0.992271
1714313103454896854,3.85424,-1.38523,-0.537285,-0.202549,4.12754,-0.156219,-0.041155,Three,0.946401,-0.300299,-0.11894,0.306288,0.951283,0.0353343,0.102534,-0.0698702,0.992273
1714313103461579708,3.81445,-1.37593,-0.53194,-0.249671,4.08645,-0.159425,-0.04059,Three,0.946405,-0.300286,-0.118937,0.306276,0.951287,0.0353405,0.102531,-0.0698739,0.992273
1714313103468020178,3.83725,-1.38894,-0.534943,-0.265475,4.1123,-0.164882,-0.0402944,Three,0.946401,-0.300296,-0.118944,0.306287,0.951283,0.0353387,0.102537,-0.0698756,0.992272
1714313103522874318,4.04616,-1.09681,-0.543415,0.860393,4.22331,0.176392,-0.0473466,Three,0.946415,-0.30022,-0.119022,0.306215,0.951306,0.0353307,0.10262,-0.0698839,0.992263
1714313103529169487,4.02212,-1.09375,-0.540624,0.839261,4.1993,0.172019,-0.0472681,Three,0.946417,-0.300215,-0.119019,0.306209,0.951309,0.0353278,0.102618,-0.0698797,0.992263
1714313103535438020,3.9651,-1.08159,-0.533717,0.836292,4.14088,0.166378,-0.0469633,Three,0.946413,-0.300214,-0.119055,0.30621,0.951308,0.0353209,0.102655,-0.0698842,0.992259
1714313103542004785,3.99609,-1.09378,-0.538013,0.79581,4.17437,0.164091,-0.0471082,Three,0.946413,-0.300207,-0.119075,0.306204,0.95131,0.0353163,0.102675,-0.0698852,0.992257
1714313103547555317,3.94019,-1.08131,-0.531198,0.797217,4.11692,0.158993,-0.0469707,Three,0.94642,-0.300186,-0.119072,0.306184,0.951317,0.0353271,0.10267,-0.0698921,0.992257
1714313103553082104,3.92946,-1.08167,-0.530167,0.777293,4.10675,0.155315,-0.0469577,Three,0.946424,-0.300166,-0.119088,0.306166,0.951322,0.0353422,0.102682,-0.0699093,0.992255
1714313103558548043,3.92762,-1.08418,-0.530196,0.758964,4.10577,0.15225,-0.0468959,Three,0.94643,-0.300138,-0.119111,0.30614,0.95133,0.0353452,0.102706,-0.0699165,0.992252
1714313103564667648,3.97409,-1.10064,-0.537084,0.707762,4.15552,0.15056,-0.0477679,Three,0.94643,-0.300135,-0.119121,0.306138,0.951331,0.0353428,0.102716,-0.0699169,0.992251
1714313103570278184,3.95936,-1.09998,-0.535907,0.686578,4.14123,0.14675,-0.0481955,Three,0.946429,-0.300142,-0.119112,0.306143,0.951329,0.0353355,0.102709,-0.0699078,0.992252
1714313103576867854,3.91954,-1.09279,-0.531021,0.67776,4.10081,0.141552,-0.0480184,Three,0.946432,-0.300138,-0.119092,0.306137,0.951332,0.0353204,0.102695,-0.0698869,0.992255
1714313103583903753,3.92085,-1.09726,-0.531384,0.638954,4.10344,0.137641,-0.0480622,Three,0.946439,-0.300129,-0.11906,0.306124,0.951336,0.0353155,0.102667,-0.0698711,0.992259
1714313103590690819,3.91963,-1.10114,-0.531522,0.611202,4.10346,0.13356,-0.0480828,Three,0.946441,-0.300127,-0.119053,0.306123,0.951336,0.035324,0.102658,-0.069877,0.992259
1714313103596223428,3.91311,-1.10288,-0.530956,0.580878,4.09775,0.129908,-0.0479886,Three,0.94644,-0.300121,-0.119072,0.306118,0.951338,0.0353282,0.102675,-0.0698862,0.992257
1714313103601841604,3.88754,-1.09898,-0.527942,0.576698,4.07201,0.1259,-0.0479978,Three,0.946443,-0.300123,-0.119048,0.306119,0.951338,0.035328,0.102652,-0.0698786,0.99226
1714313103607427996,3.84989,-1.09173,-0.523287,0.577819,4.03365,0.121444,-0.0477961,Three,0.946443,-0.300125,-0.119037,0.306121,0.951337,0.0353361,0.102639,-0.0698833,0.992261
1714313103613014935,3.91013,-1.11269,-0.531852,0.469433,4.09797,0.119574,-0.0485878,Three,0.946447,-0.30011,-0.119051,0.306106,0.951341,0.0353342,0.102654,-0.0698841,0.992259
1714313103618589037,3.85682,-1.10117,-0.525076,0.502075,4.04326,0.114485,-0.0482342,Three,0.946447,-0.300117,-0.119028,0.306111,0.95134,0.0353247,0.102634,-0.0698687,0.992262
1714313103624072305,3.883,-1.11213,-0.529168,0.428266,4.07181,0.111975,-0.0488386,Three,0.946443,-0.300129,-0.119029,0.306121,0.951337,0.0353122,0.102638,-0.0698582,0.992263
1714313103629627732,3.86068,-1.10933,-0.526661,0.406744,4.04954,0.107889,-0.0488578,Three,0.946444,-0.300129,-0.119024,0.306122,0.951337,0.0353174,0.102632,-0.0698617,0.992263
1714313103635211204,3.83937,-1.10721,-0.523668,0.369862,4.02838,0.10355,-0.0483132,Three,0.946442,-0.300144,-0.119002,0.306135,0.951333,0.0353113,0.102612,-0.0698507,0.992266
1714313103640941292,3.82477,-1.10679,-0.521991,0.21662,4.01424,0.0995059,-0.0482411,Three,0.946446,-0.300138,-0.118986,0.306128,0.951335,0.0353129,0.102597,-0.0698466,0.992268
1714313103647670007,3.78439,-1.09968,-0.517024,0.208352,3.9733,0.0941325,-0.0480365,Three,0.946444,-0.300151,-0.118965,0.306141,0.951331,0.0353242,0.102573,-0.0698525,0.99227
