t,x,y,z,yaw1,yaw2,label
1714224617506748499,3.55638,0.212276,-0.519645,0.78203,-0.634148,Three
1714224617513515543,3.68689,0.570413,-0.541234,-0.681019,0.962029,Three
1714224617520374398,3.73448,0.574821,-0.549031,-0.643603,0.924968,Three
1714224617526983858,3.73383,0.571563,-0.548914,-0.617977,0.900701,Three
1714224617534080337,3.68271,0.560407,-0.541474,-0.612873,0.894767,Three
1714224617540278009,3.63791,0.551069,-0.534836,-0.60455,0.881616,Three
1714224617546390709,3.68115,0.554602,-0.542126,-0.573272,0.849114,Three
1714224617553630550,3.63592,0.544194,-0.535643,-0.558378,0.836345,Three
1714224617560610119,3.63717,0.541204,-0.535807,-0.533664,0.811976,Three
1714224617567757017,3.63459,0.537129,-0.536101,-0.504952,0.779153,Three
1714224617574593299,3.59174,0.527364,-0.529739,-0.505939,0.778238,Three
1714224617580547803,3.58375,0.522968,-0.528607,-0.488397,0.759727,Three
1714224617587374521,3.60308,0.52177,-0.531758,-0.454942,0.726569,Three
1714224617594848661,3.60297,0.517852,-0.531922,-0.433066,0.703816,Three
1714224617601752758,3.60804,0.514682,-0.532898,-0.408107,0.680294,Three
1714224617608527559,3.59641,0.509444,-0.531148,-0.390884,0.659742,Three
1714224617615294321,3.55525,0.499717,-0.525153,-0.384004,0.651363,Three
1714224617622084847,3.59855,0.502264,-0.532499,-0.345363,0.611063,Three
1714224617628821999,3.55328,0.491894,-0.525907,-0.341688,0.604707,Three
1714224617636108536,3.59425,0.49337,-0.532786,-0.298933,0.558419,Three
1714224617642179356,3.60827,0.491534,-0.535184,-0.265559,0.528429,Three
1714224617648064615,3.60762,0.488478,-0.535223,-0.25021,0.511412,Three
1714224617654054408,3.62353,0.486892,-0.53746,-0.202376,0.456251,Three
1714224617660849959,3.65435,0.486528,-0.542439,-0.144593,0.402762,Three
1714224617666735821,3.59438,0.475271,-0.53336,-0.190287,0.444462,Three
1714224617672935077,3.59871,0.471609,-0.534222,-0.14269,0.396341,Three
1714224617678887835,3.61725,0.470709,-0.537288,-0.107775,0.363626,Three
1714224617685885244,3.56351,0.459325,-0.529244,0.37438,-0.122878,Three
1714224617692692056,3.55477,0.45455,-0.527927,-0.11005,0.357244,Three
1714224617699768205,3.50663,0.443499,-0.519995,-0.143687,0.387612,Three
1714224617706933588,3.5218,0.441329,-0.522377,-0.103172,0.352362,Three
1714224617714125016,3.50722,0.434952,-0.520153,-0.0694511,0.311385,Three
1714224617721071292,3.52167,0.432601,-0.5225,-0.0786869,0.322687,Three
1714224617728036573,3.52226,0.428028,-0.522705,-0.00976324,0.252938,Three
1714224617734868309,3.56317,0.428707,-0.528831,0.0481128,0.193612,Three
1714224617741733779,3.47306,0.413447,-0.514539,-0.0662576,0.30178,Three
1714224617748885404,3.47294,0.409321,-0.514495,-0.0962225,0.328849,Three
1714224617755721609,3.52275,0.410026,-0.522021,0.18457,0.0471704,Three
1714224617762790691,3.50799,0.403753,-0.519802,0.227833,-0.00171993,Three
1714224617770780223,3.51042,0.399287,-0.520599,0.0997429,0.126748,Three
1714224617777818985,3.51144,0.394392,-0.520527,0.220168,0.0065913,Three
1714224617784854209,3.48075,0.38722,-0.515851,0.194877,0.0310468,Three
1714224617792846609,3.49745,0.383691,-0.518286,0.236889,-0.0109431,Three
1714224617800147900,3.51373,0.380594,-0.520626,0.185,0.0300801,Three
1714224617807082436,3.51538,0.376646,-0.520914,0.166257,0.0518416,Three
